id,state,location,mobile_orders,Catering,Pickup,Delivery,WiFi,Playground,breakfast_served,drive_thru,sandwich_price
692,ga,Augusta Exchange,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
693,ga,Augusta Mall,Yes,Yes,Yes,Yes,Yes,No,No,No,5.09
694,ga,Austell Road,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
695,ga,Avalon,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
696,ga,Bainbridge,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
697,ga,Bankhead Hwy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
698,ga,Barnett Shoals,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
699,ga,Barrett Parkway,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
700,ga,Bass Road,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.85
701,ga,Beechwood,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
702,ga,Berry College,No,No,No,No,Yes,No,Yes,No,
703,ga,Blairsville,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
704,ga,Bradley Park Drive,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.75
705,ga,Braselton,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
706,ga,Bremen,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,4.75
707,ga,Brookhaven In-Line,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4.85
708,ga,Brookstone,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
709,ga,Brunswick (GA),Yes,Yes,Yes,No,Yes,No,Yes,No,4.85
710,ga,Byron [GA],Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.79
711,ga,Calhoun,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
712,ga,Camp Creek Parkway,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
713,ga,Canton Marketplace,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.85
714,ga,Carrollton,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.75
715,ga,Cascade Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.79
716,ga,Cedartown [GA],Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,4.75
717,ga,Chamblee Plaza,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4.85
718,ga,Chastain Road In-Line DT,Yes,Yes,Yes,No,Yes,No,Yes,Yes,4.85
